"ID",Title,"Abstract","Keywords",Platform_Type,Research_Area,System_Architecture,Agent_Role,Behavior_Mechanism,Evaluation_Method,Experimental_Design,Challenge_Type,Research_Gap,Evaluation_Limitations,"Authors","Year",Source_Name,Publication_Type
"11","A Virtual Laboratory for Multiagent Systems: Joining Efficacy, Learning Analytics and Student Satisfaction","This study introduces a distributed virtual laboratory for a multiagent programming course which has been very satisfactorily adopted by students, with a success rate of nearly 80%. It also aims at capturing the daily activity of students, providing the basis for data-driven assessment. Finally, it also allows for using process mining technologies to unveil successful and failed behaviors of students enabling the teacher for an early detection and intervention to improve their learning experience.","Augmented Environment, Robot Operating System, Multi-Agent Architecture, Time-Triggered Architecture","Simulation Platform","Multi-Agent System and Reinforcement Learning","Multi-Agent System","Terminals and Devices","Other Techniques","Quantitative Analysis","Hybrid Experiment Design","Metaverse","Dynamic Adaptability",Validation Environment,Luis Castillo,2016,International Symposium on Computers in Education,"Conference Paper"
"12",Adaptive Digital Twin and Multiagent Deep Reinforcement Learning for Vehicular Edge Computing and Networks,"Technological advancements of urban informatics and vehicular intelligence have enabled connected smart vehicles as pervasive edge computing platforms for a plethora of powerful applications. However, varies types of smart vehicles with distinct capacities, diverse applications with different resource demands as well as unpredictive vehicular topology, pose significant challenges on realizing efficient edge computing services. To cope with these challenges, we incorporate digital twin technology and artificial intelligence into the design of a vehicular edge computing network. It centrally exploits potential edge service matching through evaluating cooperation gains in a mirrored edge computing system, while distributively scheduling computation task offloading and edge resource allocation in an multiagent deep reinforcement learning approach. We further propose a coordination graph driven vehicular task offloading scheme, which minimizes offloading costs through efficiently integrating service matching exploitation and intelligent offloading scheduling in both digital twin and physical networks. Numerical results based on real urban traffic datasets demonstrate the efficiency of our proposed schemes.","Digital Twin, Multi-Agent Deep Deterministic Policy Gradient (MADDPG), Vehicular Edge Computing","Digital Twin","Edge-Cloud Collaboration","Multi-Agent System","Terminals and Devices","Hybrid Algorithms","Quantitative Analysis","Simulation Experiment Design","Communication and Network","Security and Privacy",Data,"Ke Zhang, Jiayu Cao, Yan Zhang","2022","IEEE Transactions on Industrial Informatics","Journal"
"13",Adaptive Social Metaverse Streaming Based on Federated Multiagent Deep Reinforcement Learning,"The social metaverse is a growing digital ecosystem that blends virtual and physical worlds. It allows users to interact socially, work, shop, and enjoy entertainment. However, privacy remains a major challenge, as immersive interactions require continuous collection of biometric and behavioral data. At the same time, ensuring high-quality, low-latency streaming is difficult due to the demands of real-time interaction, immersive rendering, and bandwidth optimization. To address these issues, we propose ASMS (Adaptive Social Metaverse Streaming), a novel streaming system based on Federated Multi-Agent Proximal Policy Optimization (F-MAPPO). ASMS leverages F-MAPPO, which integrates federated learning (FL) and deep reinforcement learning (DRL) to dynamically adjust streaming bit rates while preserving user privacy. Experimental results show that ASMS improves user experience by at least 14% compared to existing streaming methods across various network conditions. Therefore, ASMS enhances the social metaverse experience by providing seamless and immersive streaming, even in dynamic and resource-constrained networks, while ensuring that sensitive user data remains on local devices.","Adaptive Bitrate (ABR) Streaming, Extended Reality (XR), Federated Learning (FL), Multi-Agent Reinforcement Learning, Social Metaverse","Metaverse","Digital Twin and Metaverse","Edge-Cloud Collaboration","Terminals and Devices","Blockchain","Quantitative Analysis","Simulation Experiment Design","Blockchain and Security","Scenario Scalability","Validation Environment","Zijian Long, Haopeng Wang, Haiwei Dong, Abdellatif El Saddik","2025","IEEE Transactions on Computational Social Systems","Journal"
"14","AI-Assisted Edge Caching for Metaverse of Connected and Automated Vehicles: Proposal, Challenges, and Future Perspectives","The upcoming metaverse will significantly promote the safety and efficiency of connected and automated vehicles (CAVs) as well as intelligent transportation systems (ITSs) with immersive information exchange between the parallel digital and physical worlds. To enable the virtual world to better reflect the physical world, a great deal of sensed information in types of text, pictures, voice, and videos should be fetched by metaverse applications. Edge caching has been considered to improve transmission quality and data protection by storing the needed contents near users rather than in the cloud. However, qualified edge caching for the metaverse of CAVs (meta-CAVs) and metaverse of ITSs (meta-ITSs) is challenged by ubiquitous mobilities, diversified requirements, dynamic content popularity, and heterogeneous infrastructure. In this article, we elaborate on the requirements and challenges of edge caching for meta-CAVs and meta-ITSs. We then discuss how artificial intelligence (AI) can be used in edge caching to improve the performance and security of meta-CAVs and meta-ITSs. To evaluate our idea, a case study with the Multi-Agent Federated Reinforcement Learning (MAFRL)-based intelligent edge caching is provided. Some perspective research directions are given to illuminate more ideas.","Connected Autonomous Vehicles, Edge Caching, Federated Learning, Intelligent Transportation Systems, Metaverse","Edge-Cloud","Digital Twin and Metaverse","Digital Twin","Terminals and Devices","Blockchain","Quantitative Analysis","Simulation Experiment Design","Data and Models","Performance Optimization",Validation Environment,"Bomin Mao, Yangbo Liu, Jiajia Liu, Naito","2023","IEEE Vehicular Technology Magazine","Magazine Article"
"15",AI-Enabled Network-Functions Virtualization and Software-Defined Architectures for Customized Statistical QoS Over 6G Massive MIMO Mobile Wireless Networks,"With the rapid deployments of the fifth generation (5G) mobile wireless networks, the shift from the 5G to the sixth generation (6G) mobile wireless networks has attracted tremendous research attention around the world. Featuring with the explosively increasing multimedia-traffics with very diverse services requirements, the 6G mobile wireless networks need to provide the customized services with heterogeneous types of quality of service (QoS) guarantees. However, how to efficiently support these customized services with heterogeneous QoS provisioning for 6G wireless networks has imposed many new challenges not encountered before. To conquer these difficulties, in this article we propose the artificial intelligence (AI)-enabled integration of massive multiple-input-multiple-output (massive-MIMO) techniques with network functions virtualization (NFV) and software-defined network (SDN) architectures to support the customized services over the 6G mobile wireless networks. Specifically, we develop the AI-enabled network architectural schemes which efficiently integrate three 6G-candidate techniques - massive-MIMO, NFV, and SDN - to significantly improve key performances of heterogeneous statistical QoS provisioning in terms of effective capacity. We apply the massive MIMO transmission to substantially improve the channel throughput. Our NFV-based schemes abstract and slice the physical infrastructure and wireless resources in network data plane into several virtualized networks and obtain the optimal service delivery path with the maximum effective capacity among virtualized networks. Also, we develop a set of AI-enabled techniques including multiagent AI-plane architectures, edge-Al frameworks, and federated learning mechanisms for efficiently implementing our developed massive-MIMO-NFV-SDN integrated schemes. Collaborating with our developed platform and techniques, our multi-agent AI-plane based SDN controller coordinates the network nodes and resources allocations for each virtualized network. Our conducted extensive simulations validate and evaluate our developed massive-MIMO-NFV-SDN integrated architectures using AI-techniques, showing that they can efficiently support the customized statistical delay-bounded QoS provisioning over 6G mobile wireless networks.","6G Networks, Massive MIMO, Network Function Virtualization, Software-Defined Networking, Statistical QoS","Communication Network","Communication Network and IoT",Communication Network,"Decision and Management","Blockchain","Quantitative Analysis","Simulation Experiment Design","Computing and Resource Management","Validation and Deployment",Scenario,"Xi Zhang, Qixuan Zhu","2023","IEEE Network","Magazine Article"
"16",Application of Traffic Light Control in Oversaturated Urban Network Using Multi-Agent Deep Reinforcement Learning,"Adaptive traffic signal control techniques have been developed in numerous studies to increase traffic flow efficiency. Using traffic signals to design an adaptive traffic management system is ideal for reducing traffic congestion. Reinforcement learning is a branch of current approaches that try to learn a policy function through a trial-and-error process and maximize the reward through properly adjusted interaction with the learning agent’s environment. We propose a traffic signal control architecture for an oversaturated urban network using Deep Q-Network. We have enhanced the learning process by incorporating diverse state information through upstream and downstream detailed traffic states. We conduct experiments on the Simulation of Urban MObility, an open-source traffic simulator that supports large-scale traffic signal control.","Multi-Agent, Oversaturated Traffic, Reinforcement Learning, Urban Traffic Simulation, Traffic Signal Control","Simulation Platform","Multi-Agent System and Reinforcement Learning",Multi-Agent System,"Virtual and Digital",Multi-Agent System,"Quantitative Analysis","Simulation Experiment Design","Multi-Agent Collaboration","Technology Integration",Data,"El El Mon, Shuya Ochiai, Chaochit Aswakul","2024","IEEE Access","Research Article"
"17","Artificial Intelligence-Enabled Metaverse for Sustainable Smart Cities: Technologies, Applications, Challenges, and Future Directions","Rapid urbanisation has intensified the need for sustainable solutions to address challenges in urban infrastructure, climate change, and resource constraints. This study reveals that Artificial Intelligence (AI)-enabled metaverse offers transformative potential for developing sustainable smart cities. AI techniques, such as machine learning, deep learning, generative AI (GAI), and large language models (LLMs), enhance the metaverse’s capabilities in data analysis, urban decision making, and personalised user experiences. The study further examines how these advanced AI models facilitate key metaverse technologies such as big data analytics, natural language processing (NLP), computer vision, digital twins, Internet of Things (IoT), Edge AI, and 5G/6G networks. Applications across various smart city domains—environment, mobility, energy, health, governance, and economy, and real-world use cases of virtual cities like Singapore, Seoul, and Lisbon are presented, demonstrating AI’s effectiveness in the metaverse for smart cities. However, AI-enabled metaverse in smart cities presents challenges related to data acquisition and management, privacy, security, interoperability, scalability, and ethical considerations. These challenges’ societal and technological implications are discussed, highlighting the need for robust data governance frameworks and AI ethics guidelines. Future directions emphasise advancing AI model architectures and algorithms, enhancing privacy and security measures, promoting ethical AI practices, addressing performance measures, and fostering stakeholder collaboration. By addressing these challenges, the full potential of AI-enabled metaverse can be harnessed to enhance sustainability, adaptability, and livability in smart cities.","Artificial Intelligence, Digital Twin, Metaverse, Generative AI, Large Language Models, Smart Cities, Sustainable Cities, Adaptive Urban Systems, Urban Transformation, Urban Planning","Metaverse","Artificial Intelligence and Machine Learning",Metaverse Multi-Layer,"Virtual and Digital",Digital Twin,"Mixed Methods",Case Analysis,"Data and Models","Validation and Deployment",Security,"Zita Liferello, Jianguo Ding, Huansheng Ning, Qurat-Ul-Ain, Sarawi Dhelim","2024","Electronics","Review Article"
"18",Blockchain-Based Pseudonym Management for Vehicle Twin Migrations in Vehicular Edge Metaverse,"Driven by the great advances in metaverse and edge computing technologies, vehicular edge metaverses are expected to disrupt the current paradigm of intelligent transportation systems. As highly computerized avatars of vehicular metaverse users (VMUs), the vehicle twins (VTs) deployed in edge servers can provide valuable metaverse services to improve driving safety and on-board satisfaction for their VMUs throughout journeys. To maintain uninterrupted metaverse experiences, VTs must be migrated among edge servers following the movements of vehicles. This can raise concerns about privacy breaches during the dynamic communications among vehicular edge metaverses. To address these concerns and safeguard location privacy, pseudonyms as temporary identifiers can be leveraged by both VMUs and VTs to realize anonymous communications in the physical space and virtual spaces. However, existing pseudonym management methods fall short in meeting the extensive pseudonym demands in vehicular edge metaverses, thus dramatically diminishing the performance of privacy preservation. To this end, we present a cross-metaverse empowered dual pseudonym management framework. We utilize cross-chain technology to enhance management efficiency and data security for pseudonyms. Furthermore, we propose a metric to assess the privacy level and employ a multiagent deep reinforcement learning (MADRL) approach to obtain an optimal pseudonym generating strategy. Numerical results demonstrate that our proposed schemes are high-efficiency and cost-effective, showcasing their promising applications in vehicular edge metaverses.","Cross-Chain, Deep Reinforcement Learning, Pseudonym Management, Twin Migration, Vehicular Metaverse","Metaverse","Blockchain",Metaverse Multi-Layer,"Terminals and Devices","Blockchain","Quantitative Analysis","Simulation Experiment Design","Blockchain and Security","Validation and Deployment",Validation Environment,"Jiawen Kang, Xiaofeng Luo, Jiangtian Nie, Tianhao Wu, Haibo Zhou, Yonghua Wang, Dusit Niyato, Shiwen Mao, Shengli Xie","2024","IEEE IoT Journal","Journal Article"
"19",Blockchain-Empowered Resource Allocation in HAPS-assisted IoV Digital Twin Networks: A Federated DRL Approach,"Vehicular edge computing (VEC) is a new paradigm in smart cities with the potential to provide and manage resources such as computing and storage closer to resourceconstrained smart vehicles (SV) to support ultra-reliable lowlatency communications and knowledge sharing. However, it is challenging to make optimal resource allocation and offloading decisions due to the mobility, ubiquitous communications, and diverse resource demands of SVs and the dynamic nature of the vehicular network topology. In this paper, we propose an adaptive resource allocation and task offloading scheme for HAPS-assisted Internet of Vehicle networks by exploiting the potential of digital twins (DT), blockchain, and federated multiagent deep reinforcement learning (FMADRL) technologies to address these issues. The DT network is utilized to intelligently monitor and control the demand and supply of resources in the digital representation of the physical operating environment. We adopt a dynamic pricing-based double auction to model the supplies and demands of resource providers and requesters. This enables resource providers and SVs to make adaptive and optimal resource allocation and task offloading decisions. In addition, we deploy a consortium blockchain to enable distributed and secure resource allocation. The resource allocation and task offloading multi-objective optimization problem is formulated as a multiagent extension of the Markov decision process and solved using an FMADRL-based multi-agent deep deterministic policy gradient (FMADDPG) algorithm. The numerical results show that the proposed scheme archives efficient resource allocation and maximizes the utility function while minimizing costs compared to the baseline schemes.","Blockchain, Digital Twin, Resource Allocation, Task Offloading, Smart Vehicles, Deep Reinforcement Learning, Federated Learning, Double Auction","Digital Twin","Blockchain","Digital Twin","Terminals and Devices","Game Theory","Quantitative Analysis","Simulation Experiment Design","Communication and Network","Scenario Scalability",Security,"Haila Nahom Abishu, Abegaz Mohammed Seid, Rutvi H. Jhaveri, Teepa Reddy Gadde, Ayman Elbadawy, Mohsen Guizani","2024","IEEE Transactions on Intelligent Vehicles","Journal Article"
"20",Constructing the Metaverse With a New Perspective: UAV FoV-Assisted Low-Latency Imaging,"Unmanned Aerial Vehicles (UAVs) are emerging as a potential sensor for capturing images and data for constructing the Metaverse due to their unparalleled mobility and special field of view (FoV). However, the lack of an accurate image capturing model and the challenge of selecting optimal flight strategies significantly degrade the effectiveness of UAV deployment. This letter introduces a novel UAV-assisted Metaverse construction framework that enables a UAV to capture and transmit images with minimal delay. In particular, the image resolution is characterized by the UAV’s three-dimension image-taking location, which enables the UAV to efficiently complete task by optimizing and searching for coordinates that meet the requirements for image capturing and transmission. The optimization problem is very challenging under uncertainty of the communication channel and dynamic of the UAV’s environment. To solve this problem, we leverage a Markov Decision Process framework to model the dynamic of the UAV, and we develop a deep reinforcement learning algorithm to find the optimal policy. Furthermore, we employ a state normalization technique to overcome the DRL non-convergence issue caused by the continuous action and state spaces of the UAV. Simulation results show that the proposed scheme outperforms baseline schemes in terms of algorithm convergence, transmission delay, and transmission power.","Metaverse, UAV, Deep Reinforcement Learning, PPO, State Normalization","Metaverse","Digital Twin and Metaverse","Metaverse Multi-Layer","Terminals and Devices",Multi-Agent System,"Quantitative Analysis","Simulation Experiment Design","Metaverse","Technology Integration",Scenario,"Ke Shang, Dingtai Huang, Jiadong Yu, Min Hao, Dusit Niyato","2025","IEEE Wireless Communications Letters","Journal Article"
"21",Control and Decision Theory in Metaverse: A Survey,"The concept of ""metaverse"" has been widely concerned by scholars from all walks of life since its explosion in 2021. This paper introduces the related concepts of meta-verse, expounds the development of metaverse and technologies required for its establishment. Assumptions for the construction layers of metaverse in the future are put forward, and various technical supports for each layer are given. From the perspective of automation, this paper looks forward to the development and application of control and decision theory combined with cloud computing, artificial intelligence, blockchain and other technologies in the context of metaverse. Finally, the paper discusses the key challenges and open questions in the theory of control and decision and the construction of metaverse.","Metaverse, virtual world, control theory, decision making, artificial intelligence","Metaverse","Digital Twin and Metaverse",Metaverse Multi-Layer,"Virtual and Digital","Blockchain","Qualitative Analysis",Theoretical Models,"Computing and Resource Management","System Design",Validation Environment,"Huang Jie, Shao Wentai, Chen Yutao","2022","2022 China Automation Congress (CAC)","Conference Paper"
