ID,Title,Abstract,Keywords,Platform_Type,Research_Area,System_Architecture,Agent_Role,Behavior_Mechanism,Evaluation_Method,Experimental_Design,Challenge_Type,Research_Gap,Evaluation_Limitations,Authors,Year,Source_Name,Publication_Type
11,Cooperative Multiagent Deep Reinforcement Learning for Computation Offloading in Digital Twin Cyber–Physical–Social System,"The widespread deployment of edge computing infrastructures has greatly advanced cyber–physical–social systems (CPSSs) by enabling computation offloading for various applications. However, the heterogeneous nature of edge servers (ESs) and the single-destination offloading strategy may limit the overall network performance. In this case, tasks are exclusively handled by the administrative ES, resulting in only marginal improvements in service quality, such as energy consumption and task delay. To fully exploit the advantages of edge computing, this article investigates the cooperation among ESs within CPSS and proposes a cooperative algorithm, named MATORA, to exploit a further performance gain by calculating the task offloading and resource allocation decisions. First, we formulate the joint optimization problem as a time-varying mixed integer nonlinear programming problem; then, we utilize the multiagent deep reinforcement learning (MADRL) to learn the action policy. Second, the MATORA novelly builds reputation model for each ES to obtain insightful knowledge based on service quality, enhancing the training efficiency of MADRL. Thirdly, we simulate a digital twin-based virtual system to monitor the physical network, in which a risk-free, centralized training environment is provided for the multiagent algorithm. Finally, the simulation results and analysis directly validate the effectiveness of our algorithm.",Cooperative computation offloading;digital twin (DT);multiagent deep reinforcement learning (MADRL);reputation model,,,,,,,,,,,,2025,,
12,Chasing in virtual environment:Dynamic alignment for multi-user collaborative redirected walking,"Background The redirected walking (RDW) method for multi-user collaboration requires maintaining the relative position between users in a virtual environment (VE) and physical environment (PE). A chasing game in a VE is a typical virtual reality game that entails multi-user collaboration. When a user approaches and interacts with a target user in the VE, the user is expected to approach and interact with the target user in the corresponding PE as well. Existing methods of multi-user RDW mainly focus on obstacle avoidance, which does not account for the relative positional relationship between the users in both VE and PE. Methods To enhance the user experience and facilitate potential interaction, this paper presents a novel dynamic alignment algorithm for multi-user collaborative redirected walking (DA-RDW) in a shared PE where the target user and other users are moving. This algorithm adopts improved artificial potential fields, where the repulsive force is a function of the relative position and velocity of the user with respect to dynamic obstacles. For the best alignment, this algorithm sets the alignment-guidance force in several cases and then converts it into a constrained optimization problem to obtain the optimal direction. Moreover, this algorithm introduces a potential interaction object selection strategy for a dynamically uncertain environment to speed up the subsequent alignment. To balance obstacle avoidance and alignment, this algorithm uses the dynamic weightings of the virtual and physical distances between users and the target to determine the resultant force vector. Results The efficacy of the proposed method was evaluated using a series of simulations and live-user experiments. The experimental results demonstrate that our novel dynamic alignment method for multi-user collaborative redirected walking can reduce the distance error in both VE and PE to improve alignment with fewer collisions.","Virtual reality, Multi-user redirected walking, User collisions, Dynamic alignment",,,,,,,,,,,,2024,,
13,"Cognitive digital twin-based Internet of Robotic Things, multi-sensory extended reality and simulation modeling technologies, and generative artificial intelligence and cyber–physical manufacturing systems in the immersive industrial metaverse","Research background:Connected Internet of Robotic Things (IoRT) and cyber-physical process monitoring systems, industrial big data and real-time event analytics, and machine and deep learning algorithms articulate digital twin smart factories in relation to deep learning-assisted smart process planning, Internet of Things (IoT)-based real-time production logistics, and enterprise resource coordination. Robotic cooperative behaviors and 3D assembly operations in collaborative industrial environments require ambient environment monitoring and geospatial simulation tools, computer vision and spatial mapping algorithms, and generative artificial intelligence (AI) planning software. Flexible industrial and cloud computing environments necessitate sensing and actuation capabilities, cognitive data visualization and sensor fusion tools, and image recognition and computer vision technologies so as to lead to tangible business outcomes. Purpose of the article: We show that generative AI and cyber–physical manufacturing sys-tems, fog and edge computing tools, and task scheduling and computer vision algorithms are instrumental in the interactive economics of industrial metaverse. Generative AI-based digital twin industrial metaverse develops on IoRT and production management systems, multi-sensory extended reality and simulation modeling technologies, and machine and deep learning algorithms for big data-driven decision-making and image recognition processes. Virtual simulation modeling and deep reinforcement learning tools, autonomous manufacturing and virtual equipment systems, and deep learning-based object detection and spatial computing technologies can be leveraged in networked immersive environments for industrial big data processing. Methods: Evidence appraisal checklists and citation management software deployed for justifying inclusion or exclusion reasons and data collection and analysis comprise: Abstrackr, Colandr, Covidence, EPPI Reviewer, JBI-SUMARI, Rayyan, RobotReviewer, SR Accelerator, and Systematic Review Toolbox. Findings & value added: Modal actuators and sensors, robot trajectory planning and computational intelligence tools, and generative AI and cyber–physical manufacturing systems enable scalable data computation processes in smart virtual environments. Ambient intelligence and remote big data management tools, cloud-based robotic cooperation and industrial cyber-physical systems, and environment mapping and spatial computing algorithms improve IoT-based real-time production logistics and cooperative multi-agent controls in smart networked factories. Context recognition and data acquisition tools, generative AI and cyber– physical manufacturing systems, and deep and machine learning algorithms shape smart factories in relation to virtual path lines, collision-free motion planning, and coordinated and unpredictable smart manufacturing and robotic perception tasks, increasing economic per-formance. This collective writing cumulates and debates upon the most recent and relevant literature on cognitive digital twin-based Internet of Robotic Things, multi-sensory extended reality and simulation modeling technologies, and generative AI and cyber–physical manufacturing systems in the immersive industrial metaverse by use of evidence appraisal checklists and citation management software. © Instytut Badań Gospodarczych.",cognitive digital twin; cyber–physical manufacturing system; extended reality; generative artificial intelligence; immersive industrial metaverse; Internet of Robotic Things; sensor; simulation modeling,,,,,,,,,,,,2024,,
14,CollaborativeBEV: Collaborative bird eye view for reconstructing crowded environment,"Constructing a virtual world for the Metaverse based on real-world data is crucial, yet creating virtual environments for crowded scenes poses challenges in accurately tracking individuals using egocentric wearable cameras due to occlusions caused by crowded pedestrians. To address this, we propose a collaborative perception strategy that leverages multiple agents equipped with multi-view cameras to construct an occupancy map for a crowded environment. To fuse the multi-view perceptions of multiple agents, we propose a Collaborative Bird Eye View fusion network, called CollaborativeBEV (C-BEV), in which, we leverage a depth-based BEV network as a feature extractor, and propose a feature enhancement module to improve perception fusion in overlapping area. A designed loss function is introduced to address data imbalance during training, and a BEV enhancement strategy is proposed to augment the sample pool for training the BEV decoder. Experiment on the Sean2.0 dataset demonstrates that our C-BEV method performs better than the baseline method in terms of a 5.3% IoU increase. Our code will be released on github. https://github.com/RYaNzzZ1/CollaborativeBEV. © 2024 Elsevier B.V.",3D reconstruction; Collaborative BEV; Metaverse; Occupancy map; Point cloud understanding,,,,,,,,,,,,2024,,
15,"Digital Twin in the IoT Context: A Survey on Technical Features, Scenarios, and Architectural Models","Digital twin (DT) is an emerging concept that is gaining attention in various industries. It refers to the ability to clone a physical object (PO) into a software counterpart. The softwarized object, termed logical object, reflects all the important properties and characteristics of the original object within a specific application context. To fully determine the expected properties of the DT, this article surveys the state-of-the-art starting from the original definition within the manufacturing industry. It takes into account related proposals emerging in other fields, namely augmented and virtual reality (e.g., avatars), multiagent systems, and virtualization. This survey thereby allows for the identification of an extensive set of DT features that point to the “softwarization” of POs. To properly consolidate a shared DT definition, a set of foundational properties is identified and proposed as a common ground outlining the essential characteristics (must-haves) of a DT. Once the DT definition has been consolidated, its technical and business value is discussed in terms of applicability and opportunities. Four application scenarios illustrate how the DT concept can be used and how some industries are applying it. The scenarios also lead to a generic DT architectural model. This analysis is then complemented by the identification of software architecture models and guidelines in order to present a general functional framework for the DT. This article, eventually, analyses a set of possible evolution paths for the DT considering its possible usage as a major enabler for the softwarization process.",Artificial intelligence (AI);business models;cyber physical systems (CPSs);digital twin (DT);Internet of Things (IoT);machine learning (ML);multiagent systems;network function virtualization;sensors;servitization;smart city;software architecture;softwarization;virtual and augmented reality,,,,,,,,,,,,2020,,
16,Development of crop-simulation multiagent system for smart digital twin of plant,"The paper discusses development of the smart digital twin of plant (SDTP) as an intelligent cyber-physical system that includes an open knowledge base and a multi-agent subsystem for planning and discrete-event modeling of plant growth and development, as well as forecasting crop parameters based on the knowledge of agronomists, which can be supplemented with sensors and plant growth management mechanisms. SDTP functions should provide continuous adaptive adjustment of the plant development plan for each specific field, depending on the changes in external conditions, so that the discrepancy between each digital crop models and the real crops is minimal. SDTP is designed to systematize and formalize expert empirical data of agronomists on the stages of plant growth and development and yield forecast. Currently, SDTP is implemented as a web service that integrates various data sources from the fields and plants, and provides users with a possibility to track the state of real plants, predict and simulate plant condition.",precision farming;plant cultivation;digital twin;multi-agent technology;knowledge base;ontology,,,,,,,,,,,,2022,,
17,Disaster Assistance Intelligent Agent,"Virtual characters are controlled by artificial intelligence in video games and movies. Controlling these characters when they are surrounded by people is known as crowd simulation. In this work, we propose to employ intelligent agents and decision trees to simulate a realistic scenario in which our agent will lead the human behavioural AI and identify the best route to the goal or the best circumstances to the objective avoiding all the obstacles in the path. This crowd simulation will be used to make intelligent agents which can find the best path during the situation of any disaster and show humans the safest path which the humans can follow to get to the nearest safe points. Multiagent simulation, commonly referred to as a Crowd and Agent Simulation, is an approach used to simulate many people, animals or other characters interacting with each other in one place. These actors are expected to pursue their objectives, engage in the environment and coordinate with each other. It is expected that the simulated actors will pursue their goals, interact with the environment, and communicate among themselves. Crowd simulations find utility in various areas, including the enhancement of training environments and virtual worlds, the optimization of architectural planning, and the refinement of AI-driven characters' driving behaviors in video games and movies.",Artificial Intelligent;Agent;Behavior Tree;Crowd Simulation,,,,,,,,,,,,2023,,
18,Distributed Resource Optimization With Blockchain Security for Immersive Digital Twin in IIoT,"Virtual reality-embedded digital twin (VR-DT) service integrates digital twin with virtual reality to visualize the digital representation of real-world production, boosting the digital transformation of manufacturing industry in the Industrial Internet of Things (IIoT). Balanced against the advantages of the VR-DT service, its data-driven, computing-intensive, and security-sensitive features bring challenges to the current IIoT. Therefore, we propose a blockchain-based distributed resource allocation scheme to improve the average Quality of Service (QoS) of the VR-DT services with regard to service delay and transaction throughput. We formulate the joint optimization of channel assignment, subframe configuration, computing capacity allocation, and block size adjustment as a mixed-integer nonlinear programming problem. A fully decentralized multiagent compound-action actor–critic algorithm is developed to solve the QoS optimization problem. Simulation results demonstrate that our proposed scheme can efficiently improve the average QoS of the VR-DT services in a realizable way as compared to existing schemes.",Blockchain;deep reinforcement learning (DRL);digital twin (DT);multiagent;virtual reality (VR),,,,,,,,,,,,2023,,
19,Distributed deep reinforcement learning-based coordination performance optimization method for proton exchange membrane fuel cell system,"A proton exchange membrane fuel cell (PEMFC) is a multi-input multi-output nonlinear complicated system, the output power and operating efficiency of which are affected by various operating variables. To achieve coordinated control of multiple operating variables and thus improve the stability, performance, and efficiency of the PEMFC power system, a data-driven power coordination management method is proposed. Furthermore, a metaverse-based multiagent double delay deep deterministic policy gradient (MET-MADDPG) algorithm is also presented. The design of this algorithm is structured on the concept of the metaverse in that it employs different metaverses during pre-learning and combines imitation learning and curriculum learning to enable agents in different combinations to be fully trained in different environments to improve coordination strategy robustness. In this algorithm, the hydrogen controller, air controller, water pump controller and radiator controller are regarded as four agents; the objective of the training is to enable agents with their different goals to coordinate. The effectiveness of the proposed algorithm is demonstrated in a series of experiments in which it is compared with existing algorithms. © 2021 Elsevier Ltd",Distributed deep reinforcement learning; Metaverse; Metaverse-based multi-agent double delay deep deterministic policy gradient algorithm; Power coordination management method; Proton exchange membrane fuel cell (PEMFC),,,,,,,,,,,,2022,,
20,Dynamic Resource Scheduling for Air-Ground Collaborative Communication: A Hierarchical Multi-Agent Method for Metaverse,"With the rapid advancement of 5 G communication and the Internet of Things (IoT), unmanned aerial vehicles (UAVs) has shown its potential to play a pivotal role as aerial base stations within the evolving landscape of future wireless networks and edge computing systems. However, in such UAV-assisted communication networks, the complexity of multi-agent scenarios creates challenges due to the problem of learning and decision-making in complex tasks. To address this issue, we propose a novel algorithm that optimizes UAV trajectory planning and autonomous clustering of user equipment (UE) for communication. The proposed algorithm leverages hierarchical reinforcement learning and multi-agent cognitive consistency to improve UE communication decisions in interference-prone environments. Simulation results confirm the convergence of the proposed algorithm and reveal special strength in coordinating spectrum utilization in complex air-ground environments.  © 2024 IEEE.",graph convolutional networks; hierarchical reinforcement learning; multi-agent; relay communication; spectrum allocation; unmanned aerial vehicle (UAV),,,,,,,,,,,,2024,,
21,Enhancing Computational Processing Performance for Generative AI Large Models with Autonomous Decision-Making in Metaverse Applications,"We explore how to enhance the computational processing performance for generative AI large models with autonomous decision-making in metaverse applications. We first introduce the relationship between AI large models and the Metaverse. We elaborate on the application scenarios of generative AI large models in Metaverse, including real-time weather simulation, embodied intelligence of agents, dynamic environment interaction, and user emotion recognition. We then propose the method of Multi-Dimensional Optimization Generation Framework (MDOGF) to improve computational processing performance. The experiment results show great improvement in computational processing performance. © 2024 IEEE.",AGI (Artificial General Intelligence); Autonomous Decision-Making; Digital Twin Technology; Generative AI Large Models; Metaverse; Model Acceleration; Model Compression; Multi-Agent Systems; Multi-Modal Data Integration; Reinforcement Learning,,,,,,,,,,,,2024,,
22,Efficient Twin Migration in Vehicular Metaverses: Multi-Agent Split Deep Reinforcement Learning with Spatio-Temporal Trajectory Generation,"Vehicle Twins (VTs) as digital representations of vehicles can provide users with immersive experiences in vehicular metaverse applications, e.g., Augmented Reality (AR) navigation and embodied intelligence. VT migration is an effective way that migrates the VT when the locations of physical entities keep changing to maintain seamless immersive VT services. However, an efficient VT migration is challenging due to the rapid movement of vehicles, dynamic workloads of Roadside Units (RSUs), and heterogeneous resources of the RSUs. To achieve efficient migration decisions and a minimum latency for the VT migration, we propose a multi-agent split Deep Reinforcement Learning (DRL) framework combined with spatio-temporal trajectory generation. In this framework, multiple split DRL agents utilize split architecture to efficiently determine VT migration decisions. Furthermore, we propose a spatio-temporal trajectory generation algorithm based on trajectory datasets and road network data to simulate vehicle trajectories, enhancing the generalization of the proposed scheme for managing VT migration in dynamic network environments. Finally, experimental results demonstrate that the proposed scheme not only enhances the Quality of Experience (QoE) by 29% but also reduces the computational parameter count by approximately 25% while maintaining similar performances, enhancing users' immersive experiences in vehicular metaverses.  © 2002-2012 IEEE.",deep reinforcement learning; Digital Twins; service migration; vehicular metaverse,,,,,,,,,,,,2025,,
23,Environmental Cognition-Driven Hierarchical Decision-Making for Air-Ground Collaborative Communication,"The unparalleled communication and sensing capabilities of the 6th generation (6G) networks can fulfill the diverse requirements of emerging scenarios like the metaverse. However, several issues such as queue transmission between numerous heterogeneous nodes and difficulties in understanding complex and dynamic environments from high-level cognition urgently need to be addressed. In response, this paper proposes an environmental cognition-driven method based on graph convolutional networks (GCNs), which comprehensively considers node positions, task queues, and frequency conflicts, then optimizing node clustering to cope with complex and dynamic electromagnetic environments. In the meanwhile, to overcome the limitations of conventional reinforcement learning (RL) methods in addressing the increasing complexities of multi-task and multi-granularity decision-making, a hierarchical reinforcement learning (HRL) method based on the actor-critic (AC) framework is proposed to quick decision-making for air-ground collaborative communication. Numerical results demonstrate that the proposed environmental cognition-driven hierarchical decision-making method can reduce redundant interactions among nodes and improve the transmission rate.  © 2024 IEEE.",air-ground collaborative communication; environmental cognition-driven; graph convolutional network; hierarchical reinforcement learning; multi-agent spectrum allocation,,,,,,,,,,,,2024,,
24,Enabling the Wireless Metaverse via Semantic Multiverse Communication,"Metaverse over wireless networks is an emerging use case of the sixth generation (6G) wireless systems, posing unprecedented challenges in terms of its multi-modal data transmissions with stringent latency and reliability requirements. Towards enabling this wireless metaverse, in this article we propose a novel semantic communication (SC) framework by decomposing the metaverse into human/machine agent-specific semantic multiverses (SMs). An SM stored at each agent comprises a semantic encoder and a generator, leveraging recent advances in generative artificial intelligence (AI). To improve communication efficiency, the encoder learns the semantic representations (SRs) of multi-modal data, while the generator learns how to manipulate them for locally rendering scenes and interactions in the metaverse. Since these learned SMs are biased towards local environments, their success hinges on synchronizing heterogeneous SMs in the background while communicating SRs in the foreground, turning the wireless metaverse problem into the problem of semantic multiverse communication (SMC). Based on this SMC architecture, we propose several promising algorithmic and analytic tools for modeling and designing SMC, ranging from distributed learning and multi-agent reinforcement learning (MARL) to signaling games and symbolic AI. © 2023 IEEE.",extended reality (XR); federated learning; Metaverse; multi-agent reinforcement learning; semantic communication; signaling game; split learning; symbolic artificial intelligence,,,,,,,,,,,,2023,,
25,Federated Learning for improved prediction of failures in Autonomous Guided Vehicles,"Autonomous Guided Vehicles (AGVs) are nowadays an indispensable component of production lines in smart manufacturing. Managing the fleet of AGVs covers not only the delegation of operational tasks but also the monitoring of AGVs activity and health condition by applying tailored Machine Learning-based methods to detect anomalies in various signals gathered by edge IoT devices mounted on board. Detecting anomalies requires appropriate prediction of selected signals based on multiple types of sensor readings. Momentary energy consumption is one of the signals that can indicate abnormal states in AGVs. In this paper, we show that the prediction of this signal can be improved with the Federated Learning (FL) approach that involves exchanging experience gained by particular AGVs. This paper significantly extends the conference paper (Shubyn et al., 2022) with the new multi-round approach to building global prediction models and recent experiments on real data streams produced by AGVs designed by the AIUT company. The results of our experiments prove that in the AGV operational environments with distributed knowledge Federated Learning performs better than traditional centralized approaches and that frequent synchronization of experience may lead to better prediction quality.","Federated Learning, Autonomous Guided Vehicles, Smart manufacturing, Prediction, Industry 4.0",,,,,,,,,,,,2023,,
