ID,Challenge_Type
39,"Real-time detection of adversarial patches in AR-assisted driving, optimizing resource allocation for low latency and energy efficiency, and handling mobile edge computing inefficiencies."
40,"Task pre-migration decisions, edge server overload"
41,"Meeting diversified and stringent QoS requirements for multiple metrics (latency, packet drop rate, throughput) in 6G metaverse services and optimizing resource utilization."
42,"Heterogeneous caching hardware, dynamic network environments, content duplication"
43,"Balancing visual quality and rendering delay, handling distributed discrete-continuous hybrid decision-making, and adapting to dynamic Metaverse environments."
44,"Balancing UAV movements for data collection, saving battery power, maintaining QoI for all users"
45,"Dynamic resource allocation in aerial MEC due to platform mobility, high resource demands for Metaverse services, and real-time data processing requirements."
46,"Handling malicious recommenders, early detection of degrading services"
47,"Balancing QoE and energy consumption in Metaverse services with limited device resources, adapting to dynamic user preferences and interference noise."
48,High-fidelity modeling complexity; Latency in multimodal fusion; Realistic military scenario simulation
49,"Achieving scalable consensus in IoT ecosystems with finite-capacity nodes, ensuring robustness against AI-fueled attacks, and adapting to dynamic user preferences and node diversity."
50,"Handling dynamic group membership, minimizing communication overhead"
51,"Ensuring robust security and efficient data distribution in smart farm IoT networks, mimicking natural mycelium behavior for scalable communication, and integrating AIS and MAS for adaptive threat response."
52,"Limited qubits, High-dimensional action spaces"
53,"The challenge type is Information Asymmetry in Multi-Dimensional Contract Design for Metaverse Ecosystems. It involves addressing adverse selection problems arising from unknown private information (e.g., semantic extraction ability, transmission rate, refresh rate of IoT devices; valuation preferences of Metaverse users) and designing incentive mechanisms to ensure truth-telling while maximizing the virtual service provider's (VSP) profit with minimal Individual Rationality (IR) and Incentive Compatibility (IC) violations."
54,"Oracle tampering, Data integrity"
55,"Dynamic UT migration due to UAV mobility and limited RSU coverage, optimizing bandwidth allocation and pricing under information asymmetry, and ensuring immersive experiences for UMUs."
56,"Limited realism in avatar behavior, Gender bias"
57,"Developing robust HDTs for cybersecurity simulations, addressing underdeveloped cognitive architectures, and creating a reference ontology for behavioral cybersecurity knowledge."
58,"Ensuring data privacy/security in metaverse, addressing computational resource demands, and balancing virtual-real integration in communication."
59,"The challenges include the high abstraction degree of simulation models, limited research topics, and the need to integrate new technologies like big data and metaverse to address complex problems in the discipline."
60,"Challenges include optimizing deep learning models for WoT efficiency, integrating Web 3.0 technologies, and addressing human-centric metaverse design."
61,"Balancing high behavioral fidelity with low computational complexity in multiagent systems, evaluating fidelity based on subjective human judgment, and generalizing findings across different problem domains."
62,"High mobility of vehicles, resource allocation, NP-hard problem"
63,"Balancing opinion consensus with network dynamics, modeling real-world social interactions in virtual groups, and understanding the impact of agent heterogeneity on group behavior."
64,"High-throughput demand, dynamic mobility, heterogeneous channels"
65,"Ensuring timely VT migration under limited RSU coverage, optimizing bandwidth resource trading with incomplete information, and balancing privacy protection with efficient decision-making."
66,"Resource allocation, service response latency, scalability"
67,Multi-Agent Collaboration
68,Metaverse
69,Computing and Resource Management
70,Communication and Network
71,Blockchain and Security
72,Communication and Network
73,Data and Models
74,Computing and Resource Management
75,Communication and Network
76,Data and Models
77,Multi-Agent Collaboration
78,Metaverse
