ID,Agent_Role
66,Cybertwins act as autonomous intermediary agents bridging ULVS requirements and UNI resource allocations
67,Communication and Computing
68,Terminals and Devices
69,Decision and Management
70,Terminals and Devices
71,Terminals and Devices
72,Multi-Agent System
73,Terminals and Devices
74,Terminals and Devices
75,Terminals and Devices
76,Terminals and Devices
77,Multi-Agent System
78,Virtual and Digital
