ID,Experimental_Design
20,Comparison with methods without autonomous clustering
21,"Experiments conducted on real-time weather simulation, embodied intelligence of agents, multi-modal data integration, and digital twin technology, using datasets A and B with specific model parameter settings."
22,"Comparison with Local-Edge Model, Local-Model, Full Migration, and Random Migration baselines"
23,"Simulations conducted with three clusters of ground nodes, three UAVs, and a jammer in a complex urban environment. Parameters include UAV altitude, movement speed, ground node positions, frequency bands, and power configurations."
24,Toy implementation comparing FL and SL for SMC
25,"Experiments conducted using data from AIUT's Formica-1 AGVs, with virtual clients simulating multiple AGVs. Data sets were split into multiple rounds for training and testing, with models evaluated on momentary energy consumption prediction."
26,"Comparison with DQN, ISAC, GCC-G, and BBR-G under varying network conditions"
27,"Experimental design includes simulations with binary decision trees to model learner responses, and a case study in Gridlock game with 8 low-level agents. Parameters such as learning rate, discount factors, and batch size are configured as specified in Table I."
28,"Comparison with MAHDRL without RIS, MADDPG, and CC-MAHDRL"
29,"Experiments use fixed and random packet generation scenarios. The RL model is implemented with TensorFlow, using hyperparameters like learning rate, discount factor, and batch size. Topologies include linear, tree, single-node, and cyclic structures."
30,"Physical-space and meta-space maps (2,500 m × 2,500 m), Observer velocity (20 m/s), Data quality levels (4 levels)"
31,"Bridging the reality gap between simulations and physical UAV systems, handling nonstationary environments, and improving policy generalization."
32,"Trace-driven experiments with two datasets (Data Set1 and Data Set2), varying cache sizes (5%-25%), and user request proportions (10%-50%)"
33,"Hybrid on-chain (Solidity) and off-chain (Python) simulation environment on Sepolia Testnet. Parameters include learning rate, discount factor, and number of agents. Experiments conducted over 100 episodes."
34,Coverage area: 1x1 Km; IoTDs: 50-100; UAVs: 2-5; Hotspots: 4-7; Task size: 0.15-0.45 MB; Delay: 100-500 ms
35,Simulation experiments with different agent numbers and community regulation intensities; sensitivity analysis using community loyalty index data at specific time nodes.
36,No empirical experiment; relies on philosophical and technical argumentation
37,"Simulations in scenarios with 3 channels and 4-7 XR users. Bandwidth set to 10GHz, data translation function simulated with random scaling, channel gains following Rayleigh distribution."
38,"Urban scenario with 10 vehicles and 6 RSUs, varying task sizes, bandwidths, and computing resources"
39,"Experiments with 4 MMBS and 7-10 AR vehicles, varying bandwidth, power, resolution, and mobility. Training for 1,000,000 steps with ADAM optimizer and random seeds."
40,"Urban scenario with 12 vehicles and 3 RSUs, varying task sizes and bandwidths"
41,"Simulations use a network topology with 11 router nodes, 14 links, packet sending rate of 1.5 Gbps, and transmission rate of 5 Gbps. Weights for QoS metrics are set for latency-sensitive, high-reliability, and throughput-sensitive services."
42,"Simulated urban scenario with 12 vehicles and 3 edge servers, varying content sizes and request frequencies"
43,"Experiments with 1 Nebula server, 3 Planets, 5 users; network distances [10,100]; 30 virtual object types; resource capacities varying. Trained with Adam optimizer, evaluated over 100 episodes."
44,"Three real-world mobility datasets (NCSU, KAIST, Beijing), hyperparameter tuning, ablation study, performance comparison with six baselines"
45,"The experimental design simulates a TN-NTN environment with 90 MUs, 3 MSPs, and 20 subchannels per ABS, using 2000 training episodes, comparing against MADDPG and DDPG to evaluate QoE utility, meta-distance, and latency."
46,"Simulated network of 1,000 recommenders and 100 service providers, random initialization, 200 iterations per experiment"
47,"Simulated environment with a BS, MUs, and virtual objects. Parameters include downlink power (240 dBm), uplink power (30 dBm), rendering capacity (500 K), and dynamic interference noise power (3-6 dBm)."
48,Multi-round red-vs-blue virtual scenarios; Human-in-the-loop intervention; Controlled VR simulations
49,"Simulated multiagent IoT ecosystem with nodes having finite memory capacity. The Fame Game is run to study dynamic behavior, and PoE is analyzed for different node birth policies and historical event horizons."
50,"Simulated network with varying group sizes, comparison of balanced vs. unbalanced trees"
51,"Six experiments with varying attacked plants, using 50 mycelium seeds, growth restrictions, and controlled nutrient and oxygen availability. Simulations run for 10 minutes, collecting data."
52,"Intel i9-10990K, NVIDIA Titan X GPUs, 128GB RAM"
53,"Training over 700 episodes with 200 iterations each, using 27 different sensing IoT device types. Evaluations under varying weighting factors, number of participants, contract items, and type distributions."
54,"Python-based framework, 5 agents, 1000 oracles, 1000 observations"
55,"Simulations with 5 RSUs, 15 UAVs, and parameters such as additive white Gaussian noise, channel gain, and transmit power. Experiments vary the number of RSUs/UAVs and analyze strategy convergence and reward changes."
56,"HTC VIVE Pro Eye, Unity, 44 Female Participants"
57,"Workshop with cybersecurity professionals analyzing biographies of cyber actors using Cybonto, and natural language processing analysis of over 3000 behavioral cybersecurity research papers."
58,"Constructed BA scale-free network with 50 and 2000 nodes, used SIR model to classify nodes, simulated rumor spreading before/after immunization, and analyzed degree distribution and clustering coefficients."
59,"The experimental design includes fuzzy retrieval and manual annotation of literatures, screening and classification of simulation methods, and case analysis of application scenarios in different research fields."
60,"Experimental design includes case studies on avatar migration, Web 3.0 technology analysis, pattern mining algorithm testing, and video object detection model implementation."
61,"Three multiagent scenarios: conversational group dynamics, sheepdog herding, and lane merge traffic. Evolutionary runs with NSGA-II, varying complexity measures (rule count, parameter count, CC-L1, CC-L2), 5 runs per measure, 100 generations."
62,Simulated scenario with 3 edge servers and varying numbers of vehicles (6-18)
63,"Simulations involve 100-agent groups with initial opinions from truncated Gaussian distributions, varying network structures (regular, small-world, random), and evolution rates. Group compositions include homogeneous, heterogeneous, and balanced mixtures of stubborn/flexible agents."
64,Simulated scenario with real-world vehicular traces (highD dataset) and varying channel conditions
65,"Experiments with 2–4 MRPs and 2–6 MSPs, VT tasks with data sizes 10–50 MB, CPU cycles 5000±500 M cycles, and max delay 2–4 s. Network parameters include transmitter power 40 dBm, path-loss coefficient 2, and noise power −150 dBm."
66,200m x 200m grid with Poisson-distributed viewpoint requests and normally distributed SI quality
67,Simulation Experiment Design
68,Hybrid Experiment Design
69,Simulation Experimental Design
70,Hybrid Experiment Design
71,Case Analysis
72,Theoretical Models
73,Simulation Experiment Design
74,Simulation Experiment Design
75,Simulation Experiment Design
76,Specific Technology Experiment
77,Theoretical Models
78,Simulation Experiment Design
