ID,System_Architecture
63,"The system architecture includes a directed and time-varying influence network where agents (nodes) interact based on familiarity neighborhoods. Agents are categorized into stubborn or flexible types, forming conservative or liberal groups with opinion distributions modeled by truncated Gaussian distributions."
64,Hierarchical architecture with GNN-based clustering and MARL-based scheduling
65,"The system architecture comprises vehicular metaverse users (VMUs), vehicular twins (VTs), and roadside units (RSUs) as metaverse service providers (MSPs) and resource providers (MRPs). It features a directed, time-varying influence network for VT migration between RSUs, supported by queueing theory for delay modeling and social-awareness for utility enhancement."
66,Bi-model PSM system with queue and service models
67,Digital Twin
68,Multi-Agent System
69,Metaverse Multi-Layer
70,Digital Twin
71,Communication Network
72,Blockchain Integration
73,Edge-Cloud Collaboration
74,Edge-Cloud Collaboration
75,Communication Network
76,Edge-Cloud Collaboration
77,Digital Twin
78,Blockchain Integration
