ID,Evaluation_Method
43,"Simulation experiments comparing MA-HyAR-TD3 with baselines (MA-PA-DDPG, MA-PA-Delayed-DDPG, MA-PA-TD3, Random scheme) using metrics like average reward, EdgeVRQoE, pre-rendering success percentage, and resource utilization."
44,"Overall QoI index, throughput satisfactory ratio, AoI satisfactory ratio, episodic AoI"
45,"Simulated TN-NTN environment with 90 MUs, 3 MSPs, 20 subchannels per ABS; parameters include computation capacity [20,200] GHZ, meta-data size [10,200] MB, and transmission power settings."
46,"Stability in presence of malicious recommenders, speed of degrading service recognition"
47,"Simulation experiments comparing M2ERL-UOA with baseline algorithms (DCNSGA-III, PFG-MOEA, MOPSO, M2ERL) using metrics like Pareto front quality, system reward, decision time, and delay."
48,Win rate tracking; Response latency; Comparative analysis with baseline methods
49,"Simulation experiments and graph-based analysis to evaluate the feasibility and complexity of Proof of Existence (PoE) under various system conditions, including finite memory and dynamic node behavior."
50,"Mathematical analysis, simulation of message length and computational efficiency"
51,"Simulation experiments using OpenSimulator to model mycelium growth, nutrient exchange, and alarm transmission between plants. Metrics include chemical activity levels and transactor data flow."
52,"Simulation, Performance Metrics"
53,"Simulation experiments using the CARRADA dataset, with metrics including VSP revenue, IR and IC violation rates, and convergence analysis. Comparison with a Naive MA-PDDQL baseline."
54,"Simulation, Performance Metrics"
55,"Simulation experiments comparing Tiny MADRL with traditional PPO, greedy, and random algorithms, measuring average reward convergence, strategy evolution, and impact of parameters like bandwidth cost and upper price."
56,"Quantitative Questionnaires, Eye Gaze Data"
57,"Usability tests for manual analysis of hackers' behaviors using Cybonto, automatic analysis of behavioral cybersecurity research papers, and simulation of HDTs in different environments."
58,"Simulation experiments on ideal social networks, BA scale-free network modeling, and prediction error analysis with 95.208% accuracy using Repast platform and dataset analysis."
59,"The evaluation method adopts a systematic review of relevant literature, analyzing the application status and characteristics of different simulation methods in library and information science, and discussing their application prospects in combination with new technologies."
60,"Evaluation methods include reviewer scoring for best paper selection, algorithm efficiency analysis, and survey-based technology overviews."
61,"Empirical data collection in three problem domains, using machine learning systems trained on human ratings for fidelity. Pareto-optimal frontiers analysis for complexity-fidelity tradeoffs, hypervolume calculation for solution set evaluation."
62,Numerical simulation with latency and convergence metrics
63,"Monte Carlo simulations with 100 runs per configuration, analyzing consensus rate, influence network connectedness, and number of opinion clusters. Machine learning is not used; instead, empirical data from simulations are analyzed."
64,Numerical simulation with throughput and latency metrics
65,"Simulation-based evaluation comparing MALPPO with baselines (MAPPO, MAA2C, MADQN, ADMM-SE, random strategies) using metrics like reward convergence, utility, and social welfare. Monte Carlo simulations with varying parameters (number of MSPs/MRPs, cost coefficients, social coefficients)."
66,Simulation-based performance evaluation
67,Quantitative Analysis
68,Quantitative Analysis
69,Quantitative Analysis
70,Quantitative Analysis
71,Quantitative Analysis
72,Qualitative Analysis
73,Quantitative Analysis
74,Quantitative Analysis
75,Quantitative Analysis
76,Quantitative Analysis
77,Quantitative Analysis
78,Case Analysis
